,delay,source,org,time,hour,org_num,source_num
0,75.2,Amsterdam,Tata Communications,2020-04-14T01:29:06+0000,1,3,0
1,89.8,Amsterdam,Telia Company,2020-04-14T01:34:32+0000,1,1,0
2,58.60000000000001,Amsterdam,Hurricane Electric,2020-04-14T01:35:33+0000,1,7,0
3,75.89999999999999,Amsterdam,Zayo Bandwidth,2020-04-14T01:40:13+0000,1,0,0
4,67.4,Amsterdam,Hurricane Electric,2020-04-14T01:48:08+0000,1,7,0
5,86.6,Amsterdam,Telia Company,2020-04-14T01:48:17+0000,1,1,0
6,91.5,Amsterdam,Telia Company,2020-04-14T02:33:46+0000,2,1,0
7,66.10000000000001,Amsterdam,Hurricane Electric,2020-04-14T16:23:18+0000,16,7,0
8,83.5,Amsterdam,Telia Company,2020-04-14T17:49:33+0000,17,1,0
9,73.89999999999999,Amsterdam,Telia Company,2020-04-14T18:03:49+0000,18,1,0
10,74.1,Amsterdam,Telia Company,2020-04-14T18:22:00+0000,18,1,0
11,69.10000000000001,Amsterdam,Tata Communications,2020-04-14T18:50:49+0000,18,3,0
12,83.8,Amsterdam,Telia Company,2020-04-14T21:45:23+0000,21,1,0
13,86.7,Amsterdam,Telia Company,2020-04-15T01:06:43+0000,1,1,0
14,58.8,Amsterdam,Hurricane Electric,2020-04-15T06:58:47+0000,6,7,0
15,88.7,Amsterdam,Telia Company,2020-04-15T14:53:49+0000,14,1,0
16,74.9,Amsterdam,Tata Communications,2020-04-16T03:47:59+0000,3,3,0
17,51.99999999999999,Amsterdam,Hurricane Electric,2020-04-16T20:16:21+0000,20,7,0
18,59.0,Amsterdam,Hurricane Electric,2020-04-16T22:23:27+0000,22,7,0
19,92.0,Amsterdam,Telia Company,2020-04-16T22:36:33+0000,22,1,0
20,65.5,Paris,Bravatas,2020-04-14T01:29:06+0000,1,6,1
21,67.8,Paris,NTT America,2020-04-14T01:34:31+0000,1,2,1
22,70.19999999999999,Paris,Hurricane Electric,2020-04-14T01:35:32+0000,1,7,1
23,72.5,Paris,Telia Company,2020-04-14T01:40:12+0000,1,1,1
24,92.8,Paris,Telia Company,2020-04-14T01:48:07+0000,1,1,1
25,86.60000000000001,Paris,Telia Company,2020-04-14T01:48:16+0000,1,1,1
26,88.5,Paris,Telia Company,2020-04-14T02:33:45+0000,2,1,1
27,76.5,Paris,Bravatas,2020-04-14T13:55:46+0000,13,6,1
28,82.0,Paris,Level 3,2020-04-14T16:23:17+0000,16,4,1
29,67.7,Paris,NTT America,2020-04-14T17:49:32+0000,17,2,1
30,81.1,Paris,Telia Company,2020-04-14T18:03:48+0000,18,1,1
31,75.60000000000001,Paris,Telia Company,2020-04-14T18:21:59+0000,18,1,1
32,87.9,Paris,Telia Company,2020-04-14T18:50:48+0000,18,1,1
33,67.80000000000001,Paris,NTT America,2020-04-14T21:45:23+0000,21,2,1
34,74.2,Paris,Unknown,2020-04-15T01:06:42+0000,1,5,1
35,130.5,Paris,Level 3,2020-04-15T06:58:46+0000,6,4,1
36,80.2,Paris,Telia Company,2020-04-15T14:53:49+0000,14,1,1
37,76.9,Paris,Bravatas,2020-04-16T03:47:58+0000,3,6,1
38,67.0,Paris,Hurricane Electric,2020-04-16T20:16:20+0000,20,7,1
39,70.30000000000001,Paris,Hurricane Electric,2020-04-16T22:23:26+0000,22,7,1
40,66.5,Paris,NTT America,2020-04-16T22:36:32+0000,22,2,1
41,92.3,Frankfurt,Telia Company,2020-04-14T01:29:03+0000,1,1,2
42,92.0,Frankfurt,Telia Company,2020-04-14T01:34:28+0000,1,1,2
43,80.5,Frankfurt,NTT America,2020-04-14T01:35:28+0000,1,2,2
44,87.5,Frankfurt,Telia Company,2020-04-14T01:40:09+0000,1,1,2
45,90.80000000000001,Frankfurt,Telia Company,2020-04-14T01:48:04+0000,1,1,2
46,87.5,Frankfurt,Telia Company,2020-04-14T01:48:13+0000,1,1,2
47,90.80000000000001,Frankfurt,Telia Company,2020-04-14T02:33:42+0000,2,1,2
48,95.1,Frankfurt,Telia Company,2020-04-14T13:55:43+0000,13,1,2
49,84.2,Frankfurt,NTT America,2020-04-14T16:23:14+0000,16,2,2
50,93.9,Frankfurt,Telia Company,2020-04-14T17:49:29+0000,17,1,2
51,85.6,Frankfurt,Telia Company,2020-04-14T18:03:45+0000,18,1,2
52,85.7,Frankfurt,Telia Company,2020-04-14T18:21:56+0000,18,1,2
53,95.5,Frankfurt,Telia Company,2020-04-14T18:50:45+0000,18,1,2
54,95.2,Frankfurt,Telia Company,2020-04-14T21:45:20+0000,21,1,2
55,91.60000000000001,Frankfurt,Telia Company,2020-04-15T01:06:39+0000,1,1,2
56,96.2,Frankfurt,Telia Company,2020-04-15T06:58:43+0000,6,1,2
57,92.80000000000001,Frankfurt,Telia Company,2020-04-15T14:53:46+0000,14,1,2
58,87.5,Frankfurt,Telia Company,2020-04-16T03:47:55+0000,3,1,2
59,97.3,Frankfurt,Telia Company,2020-04-16T20:16:17+0000,20,1,2
60,100.10000000000001,Frankfurt,Telia Company,2020-04-16T22:23:23+0000,22,1,2
61,87.2,Frankfurt,Telia Company,2020-04-16T22:36:29+0000,22,1,2
